Autism: Staphylococcus, Alistipes, Eubacterium, Pseudomonas, Neisseria, Escherichia, Acinetobacter, Corynebacterium, Rothia, Actinomyces, Collinsella, Coriobacteriaceae, Desulfovibrio, Lachnospira, Akkermansia, Escherichia coli, Clostridium, Granulicatella, Gemella, Proteobacteria
Bacterial vaginosis: Roseburia, Blautia, Ruminococcus, Bifidobacterium, Fusobacterium, Parabacteroides, Enterococcus, Faecalibacterium, Veillonella, Haemophilus, Lachnospiraceae, Bacteroides, Lactobacillus, Actinomyces, Enterobacteriaceae, Streptococcus, Acinetobacter, Coprococcus, Corynebacterium, Clostridium
Cervical cancer: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Asthma: Actinomyces, Acinetobacter, Corynebacterium, Roseburia, Staphylococcus, Ruminococcus, Haemophilus, Pseudomonas, Blautia, Neisseria, Parabacteroides, Alistipes, Enterobacteriaceae, Fusobacterium, Clostridium, Enterococcus, Bifidobacterium, Lachnospiraceae, Rothia, Collinsella
Rheumatoid Arthritis: Roseburia, Ruminococcus, Blautia, Parabacteroides, Fusobacterium, Enterococcus, Haemophilus, Bifidobacterium, Lachnospiraceae, Actinomyces, Faecalibacterium, Acinetobacter, Enterobacteriaceae, Corynebacterium, Veillonella, Clostridium, Staphylococcus, Pseudomonas, Coprococcus, Neisseria
Periodontal disease: Faecalibacterium, Bifidobacterium, Blautia, Roseburia, Fusobacterium, Bacteroides, Enterococcus, Veillonella, Ruminococcus, Parabacteroides, Lactobacillus, Streptococcus, Lachnospiraceae, Haemophilus, Prevotella, Enterobacteriaceae, Actinomyces, Coprococcus, Dialister, Acinetobacter
Trachoma: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Parabacteroides, Roseburia, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Blepharitis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Dialister, Coprococcus, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Trachomatous trichiasis : Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Conjunctival scarring: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Parabacteroides, Roseburia, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Heart failure: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Oral lichen planus: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Refractory celiac disease: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Dialister, Coprococcus, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Interstitial cystitis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Coronary artery disease: Streptococcus, Bacteroides, Lactobacillus, Prevotella, Faecalibacterium, Veillonella, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Acinetobacter
Juvenile Idiopathic Arthritis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Preterm birth: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Clostridium
Polycystic Ovary Syndrome: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Colon adenomas: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Gestational diabetes: Bacteroides, Faecalibacterium, Lactobacillus, Bifidobacterium, Veillonella, Streptococcus, Blautia, Fusobacterium, Roseburia, Enterococcus, Parabacteroides, Ruminococcus, Prevotella, Lachnospiraceae, Haemophilus, Enterobacteriaceae, Coprococcus, Actinomyces, Dialister, Acinetobacter
Primary Open-Angle Glaucoma: Streptococcus, Prevotella, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Clostridium
Barrett's oesophagus: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Megaesophagus: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Dialister, Coprococcus, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Transient Ischemic Attack: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Pneumonia: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Aphthous stomatitis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Ruminococcus, Parabacteroides, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Cutaneous burn: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Exacerbations of idiopathic pulmonary fibrosis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Head/Neck cancer: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Hypertension: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Rectal Carcinoma: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Halitosis: Prevotella, Streptococcus, Lactobacillus, Bacteroides, Veillonella, Faecalibacterium, Bifidobacterium, Fusobacterium, Enterococcus, Blautia, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Dialister, Enterobacteriaceae, Actinomyces, Ruminococcaceae
Dandruff: Streptococcus, Lactobacillus, Bacteroides, Prevotella, Faecalibacterium, Veillonella, Bifidobacterium, Fusobacterium, Blautia, Enterococcus, Roseburia, Parabacteroides, Ruminococcus, Lachnospiraceae, Haemophilus, Coprococcus, Enterobacteriaceae, Dialister, Actinomyces, Clostridium
